iter	Passed	Remaining
1163	4259	32332
1164	4263	32329
1165	4267	32330
1166	4270	32321
1167	4273	32316
1168	4279	32327
1169	4283	32326
1170	4286	32319
1171	4290	32319
1172	4296	32328
1173	4301	32340
1174	4306	32345
1175	4311	32348
1176	4314	32341
1177	4317	32330
1178	4321	32335
1179	4325	32328
1180	4328	32325
1181	4332	32320
1182	4335	32313
1183	4339	32309
1184	4342	32301
1185	4348	32318
1186	4352	32316
1187	4355	32306
1188	4358	32299
1189	4361	32292
1190	4364	32282
1191	4367	32271
1192	4370	32263
1193	4374	32259
1194	4376	32248
1195	4379	32238
1196	4382	32231
1197	4386	32229
1198	4390	32225
1199	4393	32219
1200	4397	32215
1201	4401	32216
1202	4405	32213
1203	4408	32204
1204	4411	32199
1205	4415	32195
1206	4418	32186
1207	4421	32180
1208	4424	32173
1209	4428	32170
1210	4432	32166
1211	4435	32157
1212	4439	32158
1213	4442	32150
1214	4445	32140
1215	4448	32132
1216	4451	32129
1217	4455	32123
1218	4458	32114
1219	4461	32104
1220	4463	32096
1221	4467	32088
1222	4469	32078
1223	4472	32068
1224	4475	32058
1225	4480	32063
1226	4483	32060
1227	4486	32049
1228	4489	32040
1229	4493	32036
1230	4496	32031
1231	4499	32024
1232	4503	32018
1233	4507	32020
1234	4510	32013
1235	4513	32005
1236	4516	31996
1237	4520	31995
1238	4523	31985
1239	4526	31976
1240	4529	31967
1241	4533	31964
1242	4535	31956
1243	4538	31947
1244	4542	31941
1245	4545	31936
1246	4548	31929
1247	4551	31920
1248	4555	31916
1249	4559	31917
1250	4563	31913
1251	4566	31909
1252	4570	31902
1253	4574	31903
1254	4577	31895
1255	4580	31889
1256	4583	31881
1257	4591	31906
1258	4596	31913
1259	4603	31934
1260	4609	31947
1261	4613	31941
1262	4617	31941
1263	4620	31934
1264	4623	31927
1265	4628	31929
1266	4632	31927
1267	4635	31919
1268	4638	31913
1269	4643	31917
1270	4646	31908
1271	4649	31901
1272	4653	31899
1273	4656	31896
1274	4660	31894
1275	4664	31888
1276	4667	31885
1277	4671	31878
1278	4674	31872
1279	4678	31869
1280	4682	31871
1281	4685	31862
1282	4688	31853
1283	4691	31844
1284	4695	31845
1285	4698	31839
1286	4702	31838
1287	4705	31828
1288	4709	31823
1289	4711	31814
1290	4714	31805
1291	4717	31798
1292	4722	31802
1293	4725	31793
1294	4728	31785
1295	4731	31775
1296	4734	31769
1297	4737	31761
1298	4740	31752
1299	4743	31741
1300	4746	31735
1301	4749	31729
1302	4752	31723
1303	4756	31716
1304	4759	31708
1305	4766	31729
1306	4769	31722
1307	4772	31715
1308	4776	31711
1309	4778	31701
1310	4781	31691
1311	4784	31681
1312	4787	31671
1313	4791	31670
1314	4793	31660
1315	4796	31651
1316	4799	31643
1317	4802	31635
1318	4806	31632
1319	4809	31625
1320	4812	31619
1321	4817	31621
1322	4820	31614
1323	4823	31605
